case_id,narrative,title,energy_source,energy_level,exposure_type,barrier_status,life_saving_rule,counterfactual_could_be_fatal_or_permanent,counterfactual_reasoning,evidence_phrase,recorded_severity,confidence,evidence_verified,sps,sps_breakdown
201129681,At approximately 6:00 a.m. on April 1  2013  Employee #1 was working for the  City and County of San Francisco Airport Commission in its Facilities  Maintenance Division. The employer's site consisted of shops such as a  carpentry shop  an electrical shop  and a plumbing shop. At the time of the  incident  Employee #1 was with a coworker  who was working as a custodian  in  the carpentry shop. Employee #1 was using a Wadkin Model Number CP12- 91589  table saw. The table saw was provided with a saw guard connected to a dust  collector. It was not equipped with an anti-kickback device. Prior to the  incident  the custodian had asked Employee #1 to cut a piece of wood for him  for a small shelf in his closet. Using the table saw  Employee #1 ripped the  0.75-inch-thick (19-millimeter-thick) plywood for the custodian. Employee #1  turned off the equipment after ripping the piece. The custodian requested a  second piece  cut to a different size  so Employee #1 ripped a second board.  After ripping the second board  Employee #1 left the equipment on  as he and  the custodian discussed cutting a third piece. Employee #1 said he might not  have used the saw guard when he cut the board at the time of the incident   because approximately fifteen seconds later  the piece of plywood from the  table saw kicked back and hit Employee #1 in the abdomen. Employee #1 was  taken to Peninsula Medical Center  where he underwent surgery. He was  hospitalized for approximately five days. The Division of Occupational Safety  and Health was notified by the San Francisco Airport safety officer at  approximately 1:53 p.m. on the day of the accident. The investigation was  initiated at approximately 10:20 a.m. on April 22  2013. At the time of the  inspection  the saw guard was observed with a hole or crack on the front. The  crack or hole had been there before the incident  according to the carpentry  shop supervisor. According to him  the saw guard was designed to prevent  kickback  but the employer did not provide any documentation to support its  claim. The Division issued one Serious Accident-Related citation  alleging  violation of Title 8 of the California Code of Regulations (T8 CCR)  section  4300.1 (c)  for the employer's failure to provide the saw with a hood  guard  or other device(s) designed to prevent a kick back while its employee was  ripping pieces. The Division also issued two General citations for the  employer's failure to ensure that the saw was guarded by a hood that  completely enclosed the portion of the saw blade  in that the hood was cracked  and/or broken  violation of T8 CCR  section 4300.1 (a); and implement and  maintain an effective Injury and Illness Prevention Program in that the  employer had no written inspection record(s) documenting the presence of a  crack or hole on the saw guard for the saw and its planned corrective action   until it was repaired on July 5  2013  violation of T8 CCR  section 3203 (a).,Carpenter Injured In Abdomen When Saw Kicks Back,mechanical_moving_equipment,high,direct_contact,partially_functioning,ppe,True,The uncontrolled kickback of a table saw with an unguarded blade and a damaged saw guard represents a high-risk scenario for severe abdominal trauma; even slight adjustments in the cutting action or blade speed could have resulted in fatal injury.,The table saw kicked back and hit Employee #1 in the abdomen,{'1': 'hospitalized_serious'},0.98,True,68.8,"{'energy_level_pts': 4, 'exposure_pts': 3, 'barrier_pts': 0, 'counterfactual_pts': 4, 'raw_total': 11, 'max_possible': 16}"
202081899,On February 24  2013  Employee #1 was transferring product from a bulk trailer  to a railcar. The employee slipped on a tarp covering and fell 15 ft to the  ground. The employee was taken to an area hospital  where he was treated for  injuries to his abdomen and abrasions on the back of his head. Employee #1 was  later released.,Employee Abdomen And Head Injury In Slip And Fall On Tarp,gravity_fall,moderate,proximity_line_of_fire,degraded,none,True,A 15-foot fall from a standing position onto an unprepared surface represents a significant risk of head and torso injury; a slight change in the employee's footing or the tarp’s placement could have resulted in severe trauma.,Employee #1 was transferring product from a bulk trailer to a railcar,{'1': 'fracture'},0.9500000000000001,True,59.4,"{'energy_level_pts': 2, 'exposure_pts': 2, 'barrier_pts': 1.5, 'counterfactual_pts': 4, 'raw_total': 9.5, 'max_possible': 16}"
202082020,On February 11  2013  an employee was working for a firm that manufactured  kitchen cabinets and countertops. He was using a table saw to cut a large  piece of lumber for use as a cabinet door. The board snagged on the saw blade   and it kicked back and struck him. He took a break and went back to work for  about an hour. He began feeling bad and then passed out. He was taken to the  hospital and admitted for three days for a split or ruptured spleen. He also  sustained a punctured abdomen.,Employee Sustains Ruptured Spleen After Board Kicks Back,mechanical_caught_in_between,high,direct_contact,functioning,point_of_operation,True,Kickback events from table saws are a recognized mechanism for severe internal injuries; the return to work after initial symptoms suggests a failure to recognize the hazard and mitigate further exposure.,The board snagged on the saw blade and it kicked back and struck him,{'1': 'hospitalized_serious'},0.98,True,68.8,"{'energy_level_pts': 4, 'exposure_pts': 3, 'barrier_pts': 0, 'counterfactual_pts': 4, 'raw_total': 11, 'max_possible': 16}"
201562840,On November 27  2012  Employee #1 was operating an asphalt-pulverizing  machine. The employee's work clothing zipper was caught in the  asphalt-pulverizing machine pulling his body into the squeeze point action of  the machine. Employee #1 was amputated from the abdominal point of his body.  The employee was pronounced dead at the scene.,Employee'S Body Is Caught In Asphalt Machine  Dies,mechanical_caught_in_between,very_high,direct_contact,absent,point_of_operation,True,"The employee's clothing became entangled in a high-speed rotating machine component, resulting in immediate and severe trauma to the abdomen; even a slight adjustment in the position of the clothing could have resulted in catastrophic injury.",Employee’S Body Is Caught In Asphalt Machine,{'1': 'fatality'},0.98,False,100.0,"{'energy_level_pts': 6, 'exposure_pts': 3, 'barrier_pts': 3, 'counterfactual_pts': 4, 'raw_total': 16, 'max_possible': 16}"
202674610,"At approximately 10:00 a.m. on November 7  2012 Employee #1  a logger with  Gillespie Iii  George R and Gillespie  Monique Dba G  was felling burned Cedar  trees at the employer's jobsite in Placerville California. Employee #1  attempted to put the tree down on the side of the hill  at the end of his back  cut. The tree ""barber-chaired""  causing the butt of the tree to kick out and  hit Employee #1 in the chest  abdomen and pelvis area. Employee #1 was  hospitalized from unspecified fracture injuries from the event. Employee #1  had planned a safe and clear escape route but tried to remove his chainsaw  from the tree before evacuating. The Employer had an Injury Illness Prevention  Program in place that included training. First aid and communication equipment  was available at the site and the workers were certified in CPR and first aid.  The Employer was a timber falling company and the work occurred on a fire  salvage-logging project. Employee #1 was an experienced timber faller with  over 20 years of experience.",Logger Is Injured When Butt Of Tree Kicks Out  Strikes Him,mechanical_moving_equipment,high,direct_contact,partially_functioning,none,True,"The barber-chair action of a falling tree creates unpredictable forces; even with an escape route, the sudden impact to the chest, abdomen and pelvis could easily cause fatal injuries. A slight change in the tree's trajectory or Employee #1’s reaction time would have resulted in a fatality.","The tree ""barber-chaired"" causing the butt of the tree to kick out and hit Employee #1 in the chest, abdomen and pelvis area",{'1': 'fracture'},0.98,False,68.8,"{'energy_level_pts': 4, 'exposure_pts': 3, 'barrier_pts': 0, 'counterfactual_pts': 4, 'raw_total': 11, 'max_possible': 16}"
202457990,At approximately 12:00 p.m. on October 17  2012  Employee #1 was cleaning the  interior of the 21000-volt pad mounted transformer with a pole of unknown  substance and approximately 6 to 7-ft in length  with a plastic  bristle  circular end. The employee was standing in front of the open panel 21000-volt  pad mounted transformer. Employee #1 was inspecting the 21000-volt pad mounted  transformer  and was using an apparatus that was not designed to be used near  live electrical wiring. The employee was shocked when the pole he was using  met with live electrical wire. Employee #1 sustained second and third degree  flash burns to his buttock  lower legs  groin and lower abdomen. The employee  was transported to an area hospital  where he was treated for his injuries.  Employee #1 remains hospitalized.,Employee Suffers Burns When He Came In Contact With Live Wir,electrical,very_high,proximity_line_of_fire,absent,ppe,True,Direct contact with a 21kV source while using an unapproved tool to inspect live equipment represents a high-probability SIF; even a slight movement of the conductive pole could have resulted in catastrophic cardiac arrest or severe burns.,Employee #1 was cleaning the interior of the 21000-volt pad mounted transformer with a pole of unknown substance and approximately 6 to 7-ft in length with a plastic bristle circular end.,{'1': 'hospitalized_serious'},0.98,True,93.8,"{'energy_level_pts': 6, 'exposure_pts': 2, 'barrier_pts': 3, 'counterfactual_pts': 4, 'raw_total': 15, 'max_possible': 16}"
201510823,On September 26  2012  an employee was working as an industrial equipment  operator for Eagle Peak Rock & Paving  Inc. He exited the cab of an idling  Caterpillar D8K track bulldozer without lowering the unit's blade or ripper  and began to repair the throttle linkage in the engine compartment. While the  employee was kneeling on the bulldozer's track and working in the engine  compartment  the engine suddenly increased in speed  and the bulldozer began  to move. The track the employee was kneeling on carried him to the front of  the unit  which then ran over him. He was killed.,Bulldozer Operator Is Crushed While Working On Engine,mechanical_moving_equipment,high,direct_contact,functioning,none,True,An idling bulldozer with a moving blade and ripper presents an immediate hazard when someone enters the engine compartment; even a slight change in the machine's movement could result in catastrophic injury.,the engine suddenly increased in speed  and the bulldozer began  to move,{'1': 'fatality'},0.98,True,68.8,"{'energy_level_pts': 4, 'exposure_pts': 3, 'barrier_pts': 0, 'counterfactual_pts': 4, 'raw_total': 11, 'max_possible': 16}"
202478632,At approximately 11:57 a.m. on September 28  2012  Employee #1 was working  with a coworker. Their job was to replace the felt under the concrete tile at  the residential location. Once the felt was replaced  the employees would put  the tile back into place. Employee #1 removed debris from a roof and dumping  leftover roof tile into a dumpster on the ground. His coworker  the foreman   was using a Bostitch nail gun (Model Number F21PL  Serial Number 12194029B) to  insert nails into roofing tiles. After the felt was replaced  the employees  would put the tile back in place. While walking on the pitch of the roof   Employee #1 was carrying a load of leftover tile when he slipped and fell into  his coworker. The coworker tried to catch Employee #1  but the nail gun went  off  sending a nail into Employee #1's abdomen. Employee #1 was transported to  a medical center  where he underwent surgical procedures and was hospitalized  for postoperative care.,Employee Is Punctured In Abdomen With Nail,mechanical_moving_equipment,moderate,proximity_line_of_fire,partially_functioning,none,True,"The combination of a moving employee, a nail gun discharging with a projectile, and direct proximity to the body creates a high-risk scenario for penetrating trauma; a slight change in movement or positioning could have resulted in fatal injury.",the nail gun went off sending a nail into Employee #1's abdomen,{'1': 'hospitalized_serious'},0.98,True,50.0,"{'energy_level_pts': 2, 'exposure_pts': 2, 'barrier_pts': 0, 'counterfactual_pts': 4, 'raw_total': 8, 'max_possible': 16}"
200361178,At approximately 7:00 a.m. on September 20  2012  Employee #1 and coworkers  were building wooden pallets. The employee and coworkers were moved to the  gang ripsaw to start cutting 2 by 12 by 8 in. lumber for kiln strips to be  sent to Weyerhaeuser. The gang ripsaw kicked back a .04 in. square and  approximately 5-6 ft long piece of wood. The piece of wood struck Employee #1  who was feeding the lumber into the saw. The wood piece struck the employee on  the left side penetrating his lower abdomen. Employee #1 was taken to an area  hospital  where he remains hospitalized.,Employee'S Abdomen Is Penetrated By A Wood Pallet,mechanical_moving_equipment,high,proximity_line_of_fire,partially_functioning,point_of_operation,True,"The gang ripsaw's kickback mechanism, combined with the operator’s proximity to the blade and the size of the flying wood fragment, created a high risk of severe injury or death; a slight adjustment in the lumber feed rate could have prevented impact.",The wood piece struck Employee #1 who was feeding the lumber into the saw,{'1': 'hospitalized_serious'},0.98,False,62.5,"{'energy_level_pts': 4, 'exposure_pts': 2, 'barrier_pts': 0, 'counterfactual_pts': 4, 'raw_total': 10, 'max_possible': 16}"
202692364,On December 4  2013  Employee #1  a carpenter employed by Valley Trinity  Construction Co.  Inc.  was engaged in interior carpentry work at a commercial  building. He fell from a ceiling joist  a fall height of approximately 6 feet.  Emergency services were called  and Employee #1 was transported to a hospital   where he was admitted and treated for bruising/abrasions to his back and neck.,Carpenter Is Injured In Fall From Ceiling Joist,gravity_fall,moderate,proximity_line_of_fire,absent,working_at_height,True,A 6-foot fall from a suspended joist without fall protection represents a significant risk of serious injury or fatality; a slight shift in position could have resulted in severe head trauma.,He fell from a ceiling joist a fall height of approximately 6 feet,{'1': 'fracture'},0.9500000000000001,True,68.8,"{'energy_level_pts': 2, 'exposure_pts': 2, 'barrier_pts': 3, 'counterfactual_pts': 4, 'raw_total': 11, 'max_possible': 16}"
202615324,At approximately 3:00 p.m. on September 26  2013  Employee #1  with Thomas A  Duyck & Vickie A Duyck  was operating a beet harvesting machine (a PTO) in a  farm field. The machine became clogged with weeds and plant material. Employee  #1 stopped the tractor and slowed the engine to an idle but did not shut the  tractor off or disengage the PTO. Employee #1 entered the rear of the  harvester and stood on a slow-moving conveyor while dislodging material with  his foot and pulling it out by hand. His foot became caught between an  open-slat conveyor and solid steel roller  and his leg was pulled in up to the  knee. A coworker was able to quickly shut off the tractor and call emergency  services. Employee #1 was hospitalized with a broken ankle and significant  abrasions and contusions to his foot and leg.,Employee Fractures Ankle Unclogging Beet Harvester,mechanical_caught_in_between,moderate,proximity_line_of_fire,degraded,point_of_operation,True,The operator was working near a rotating conveyor with an open slat and a fixed roller; a slight shift in position or a momentary loss of balance could have resulted in severe crushing injuries or amputation.,His foot became caught between an open-slat conveyor and solid steel roller,{'1': 'fracture'},0.9500000000000001,True,59.4,"{'energy_level_pts': 2, 'exposure_pts': 2, 'barrier_pts': 1.5, 'counterfactual_pts': 4, 'raw_total': 9.5, 'max_possible': 16}"
201510989,On August 22  2013  Employee #1  employed by Southland/Tutor Perini  Corporation  was working on a pipeline project. A piece of cement grout  approximately 1.5 feet by 1.5 feet by 6 feet long fell out of the tunnel face  approximately 3 feet above the invert. The cement pinned Employee #1's leg  against a roadheader. Employee #1 sustained bruising/contusions/abrasions. He  did not require hospitalization. This incident was reported to Cal/OSHA  which  subsequently led to an investigation.,Pipeline Worker Is Struck And Injured By Falling Cement,gravity_fall,moderate,proximity_line_of_fire,absent,shoring,True,A falling object from height with no shoring or other barrier directly impacting a worker's leg represents a significant SIF potential; a slight shift in the falling material could have resulted in crushing injuries or death.,A piece of cement grout approximately 1.5 feet by 1.5 feet by 6 feet long fell out of the tunnel face,{'1': 'abrasion'},0.98,True,68.8,"{'energy_level_pts': 2, 'exposure_pts': 2, 'barrier_pts': 3, 'counterfactual_pts': 4, 'raw_total': 11, 'max_possible': 16}"
202510004,On July 9  2013  Employee #1  with Aquatic Environments  Inc.  was performing  maintenance on a backhoe-like piece of equipment (called an Aquamog) used to  maintain aquatic environments. Employee #1's leg was trapped between a moving  boom section and the swing saddle/A-frame previously installed on the Aquamog  vessel. Employee #1 was hospitalized.,Employee Crushes Leg  Suffers Possible Fracture,mechanical_caught_in_between,high,direct_contact,partially_functioning,none,True,A high-force mechanical event trapping a limb between moving parts has the potential to cause catastrophic injury; a slight shift in the equipment's position or Employee #1’s movement could have resulted in severe crushing and/or amputation.,Employee #1's leg was trapped between a moving boom section and the swing saddle/A-frame,{'1': 'fracture'},0.98,True,68.8,"{'energy_level_pts': 4, 'exposure_pts': 3, 'barrier_pts': 0, 'counterfactual_pts': 4, 'raw_total': 11, 'max_possible': 16}"
201187002,At approximately 3:00 p.m. on June 21  2013  Employee #1  with Carpenter Group  Dba Carpenter Rigging  was operating a wire rope winding machine. The machine  transferred a 0.875 in. diameter wire rope from one reel onto another wooden  spool that was 3 ft in diameter. Employee #1 finished winding the wire rope  and had to secure the end of the rope with a staple. He was hammering a clip  (U-staple) onto the inside flange of the wooden spool to secure the wire rope.  The staple did not hold  and the wire rope unwound itself. As the end of the  wire rope swung by Employee #1  it glanced and lacerated his right  temple/forehead. Employee #1 was taken to the hospital and was released two  hours later. The shop supervisor  shop steward  Employee #1  and general  manager were interviewed during the course of the investigation. The employer  was cited a serious violation of T8 CCR 3382(a). This standard required the  use of face protection where there was a risk of abrasions or contusions.  Employee #1 was operating the wire rope winder without wearing face protection  which resulted lacerations to his temple. Other violations were observed  and  the employer was cited accordingly.,Employee Is Struck By Cable  Sustains Facial Abrasion,mechanical_moving_equipment,moderate,proximity_line_of_fire,absent,ppe,True,The unwinding wire rope swung directly towards the worker's face with no protective barrier; a slight change in the rope’s trajectory or speed could have caused severe head trauma.,the wire rope swung by Employee #1 glanced and lacerated his right temple/forehead,{'1': 'abrasion'},0.9500000000000001,False,68.8,"{'energy_level_pts': 2, 'exposure_pts': 2, 'barrier_pts': 3, 'counterfactual_pts': 4, 'raw_total': 11, 'max_possible': 16}"
202654620,On June 19  2013  Employee #1  employed by a construction company  was doing  roofing work on a new home construction. He was installing roofing felt paper.  He walked backwards and fell off the roof. He landed on the ground  a distance  of 12 to 14 feet. Emergency services were called. Employee #1 was transported  to the hospital  where he was treated for a fracture of the left arm and a  scrape to the left side of his face. He was not hospitalized.,Worker Falls From Roof And Breaks Arm,gravity_fall,moderate,proximity_line_of_fire,absent,working_at_height,True,Falling from a 12-14 foot height without fall protection represents a significant risk of serious injury or fatality; a slight change in balance during the backward movement could have resulted in a fatal impact.,He walked backwards and fell off the roof,{'1': 'fracture'},0.9500000000000001,True,68.8,"{'energy_level_pts': 2, 'exposure_pts': 2, 'barrier_pts': 3, 'counterfactual_pts': 4, 'raw_total': 11, 'max_possible': 16}"
